trigger_name,table_name,trigger_definition
update_field_configs_updated_at,account_field_configurations,CREATE TRIGGER update_field_configs_updated_at BEFORE UPDATE ON public.account_field_configurations FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
log_account_changes,accounts,CREATE TRIGGER log_account_changes AFTER INSERT OR UPDATE ON public.accounts FOR EACH ROW EXECUTE FUNCTION log_account_activity()
trigger_generate_account_id,accounts,CREATE TRIGGER trigger_generate_account_id BEFORE INSERT ON public.accounts FOR EACH ROW EXECUTE FUNCTION generate_account_id()
trigger_update_account_modified,accounts,CREATE TRIGGER trigger_update_account_modified BEFORE UPDATE ON public.accounts FOR EACH ROW EXECUTE FUNCTION update_account_modified_fields()
update_accounts_updated_at,accounts,CREATE TRIGGER update_accounts_updated_at BEFORE UPDATE ON public.accounts FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_activities_updated_at,activities,CREATE TRIGGER update_activities_updated_at BEFORE UPDATE ON public.activities FOR EACH ROW EXECUTE FUNCTION update_activities_updated_at()
amc_contracts_auto_number,amc_contracts,CREATE TRIGGER amc_contracts_auto_number BEFORE INSERT OR UPDATE ON public.amc_contracts FOR EACH ROW EXECUTE FUNCTION generate_amc_number()
update_amc_contracts_updated_at_trigger,amc_contracts,CREATE TRIGGER update_amc_contracts_updated_at_trigger BEFORE UPDATE ON public.amc_contracts FOR EACH ROW EXECUTE FUNCTION update_amc_contracts_updated_at()
update_cases_updated_at_trigger,cases,CREATE TRIGGER update_cases_updated_at_trigger BEFORE UPDATE ON public.cases FOR EACH ROW EXECUTE FUNCTION update_cases_updated_at()
trigger_seed_field_configs_on_company_create,companies,CREATE TRIGGER trigger_seed_field_configs_on_company_create AFTER INSERT ON public.companies FOR EACH ROW EXECUTE FUNCTION auto_seed_field_configs_on_company_create()
update_companies_updated_at,companies,CREATE TRIGGER update_companies_updated_at BEFORE UPDATE ON public.companies FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
update_complaints_updated_at_trigger,complaints,CREATE TRIGGER update_complaints_updated_at_trigger BEFORE UPDATE ON public.complaints FOR EACH ROW EXECUTE FUNCTION update_complaints_updated_at()
trigger_generate_contact_id,contacts,CREATE TRIGGER trigger_generate_contact_id BEFORE INSERT ON public.contacts FOR EACH ROW WHEN ((new.contact_id IS NULL)) EXECUTE FUNCTION generate_contact_id()
update_deal_products_updated_at,deal_products,CREATE TRIGGER update_deal_products_updated_at BEFORE UPDATE ON public.deal_products FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
trigger_update_deals_updated_at,deals,CREATE TRIGGER trigger_update_deals_updated_at BEFORE UPDATE ON public.deals FOR EACH ROW EXECUTE FUNCTION update_deals_updated_at()
