schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,account_field_configurations,Company admins can access their company field configs,PERMISSIVE,{public},ALL,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true))))",null
public,account_field_configurations,Super admins can access all field configs,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_super_admin = true))))",null
public,accounts,Company admins can access company accounts,PERMISSIVE,{public},ALL,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_admin = true))))",null
public,accounts,Super admins can access all accounts,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.is_super_admin = true))))",null
public,accounts,Users can view assigned accounts,PERMISSIVE,{public},SELECT,"((owner_id = auth.uid()) OR (company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid()))))",null
public,activities,Users can access activities from their company,PERMISSIVE,{public},ALL,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,brochures,Allow insert brochures for authenticated users,PERMISSIVE,{public},INSERT,null,(auth.role() = 'authenticated'::text)
public,brochures,Allow public select brochures,PERMISSIVE,{public},SELECT,true,null
public,chat_conversations,Allow service role full access to chat_conversations,PERMISSIVE,{service_role},ALL,true,null
public,chatbot_leads,Allow service role full access to chatbot_leads,PERMISSIVE,{service_role},ALL,true,null
public,companies,allow_all_companies_access,PERMISSIVE,{public},ALL,true,null
public,contact_field_configurations,Users can delete contact field configs from their company,PERMISSIVE,{public},DELETE,true,null
public,contact_field_configurations,Users can insert contact field configs to their company,PERMISSIVE,{public},INSERT,null,true
public,contact_field_configurations,Users can update contact field configs from their company,PERMISSIVE,{public},UPDATE,true,null
public,contact_field_configurations,Users can view contact field configs from their company,PERMISSIVE,{public},SELECT,true,null
public,contacts,Users can delete contacts from their company,PERMISSIVE,{public},DELETE,true,null
public,contacts,Users can insert contacts to their company,PERMISSIVE,{public},INSERT,null,true
public,contacts,Users can update contacts from their company,PERMISSIVE,{public},UPDATE,true,null
public,contacts,Users can view contacts from their company,PERMISSIVE,{public},SELECT,true,null
public,deals,Users can delete deals from their company,PERMISSIVE,{public},DELETE,"(company_id = ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,deals,Users can insert deals for their company,PERMISSIVE,{public},INSERT,null,"(company_id = ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))"
public,deals,Users can update deals from their company,PERMISSIVE,{public},UPDATE,"(company_id = ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,deals,Users can view deals from their company,PERMISSIVE,{public},SELECT,"(company_id = ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,flatrix_activities,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_channel_partners,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_commissions,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_deals,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_leads,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_leads,Allow insert leads,PERMISSIVE,{public},INSERT,null,true
public,flatrix_leads,Allow select leads for authenticated users,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,flatrix_project_partners,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_projects,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_properties,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_tasks,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,flatrix_users,Allow all for authenticated users,PERMISSIVE,{public},ALL,true,null
public,industry_subindustry_mapping,All users can read industry mapping,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,invoice_items,Users can delete invoice items from their company,PERMISSIVE,{public},DELETE,"(invoice_id IN ( SELECT invoices.id
   FROM invoices
  WHERE (invoices.company_id IN ( SELECT users.company_id
           FROM users
          WHERE (users.id = auth.uid())))))",null
public,invoice_items,Users can insert invoice items for their company,PERMISSIVE,{public},INSERT,null,"(invoice_id IN ( SELECT invoices.id
   FROM invoices
  WHERE (invoices.company_id IN ( SELECT users.company_id
           FROM users
          WHERE (users.id = auth.uid())))))"
public,invoice_items,Users can update invoice items from their company,PERMISSIVE,{public},UPDATE,"(invoice_id IN ( SELECT invoices.id
   FROM invoices
  WHERE (invoices.company_id IN ( SELECT users.company_id
           FROM users
          WHERE (users.id = auth.uid())))))",null
public,invoice_items,Users can view invoice items from their company,PERMISSIVE,{public},SELECT,"(invoice_id IN ( SELECT invoices.id
   FROM invoices
  WHERE (invoices.company_id IN ( SELECT users.company_id
           FROM users
          WHERE (users.id = auth.uid())))))",null
public,jc_agents,Service role has full access to jc_agents,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_api_logs,Service role has full access to jc_api_logs,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_boarding_status,Service role has full access to jc_boarding_status,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_bookings,Service role has full access to jc_bookings,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_cancellations,Service role has full access to jc_cancellations,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_channel_preferences,Service role has full access to jc_channel_preferences,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_coach_types,Service role has full access to jc_coach_types,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_coaches,Service role has full access to jc_coaches,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_communication_queue,Service role has full access to jc_communication_queue,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_crew_members,Service role has full access to jc_crew_members,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_daily_stats,Service role has full access to jc_daily_stats,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_message_templates,Service role has full access to jc_message_templates,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_notification_logs,Service role has full access to jc_notification_logs,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_notifications,Service role has full access to jc_notifications,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,jc_operators,Service role has full access to jc_operators,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
