Ad asset report
"July 11, 2025 - September 10, 2025"
Asset status,Asset,Asset type,Level,Status,Status reason,Source,Last updated,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks,Conversions
Enabled,Flats in whitefield,Callout,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","1,933",111,5.74%,INR,19.23,2134.19,111,0.00
Enabled,Flats in whitefield,Callout,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","3,262",178,5.46%,INR,1.78,315.95,178,0.00
Enabled,"Service catalog:2 BHK Apartments,3 BHK Apartments,2.5 BHK Apartments",Structured snippet,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM",303,14,4.62%,INR,16.80,235.23,14,0.00
Enabled,"Service catalog:2 BHK Apartments,3 BHK Apartments,2.5 BHK Apartments",Structured snippet,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM",11,0,0.00%,INR,0,0.00,0,0.00
Enabled,Anahata,Business name,Campaign,Not eligible,Disapproved,Advertiser,"Aug 23, 2025, 12:55 PM","34,862","3,273",9.39%,INR,1.26,4124.44,"3,112",0.00
Enabled,"Low cost flats whitefield
Low cost flats near whitefield
Luxury low cost flats book now
https://www.anahata-soukya.in/",Sitelink,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","3,463",203,5.86%,INR,22.32,4529.98,203,1.00
Enabled,RRAP Associates,Business name,Campaign,Not eligible,Disapproved,Advertiser,"Jul 14, 2025, 3:39 PM",0,0, --,INR,0,0.00,0,0.00
Enabled,"Zero Brokerage Apartments
Zero brokerage, No hidden costs
Lxurious Apartments in Town
https://www.anahata-soukya.in/",Sitelink,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","22,417","1,354",6.04%,INR,2.69,3642.65,"1,354",1.00
Enabled,2 BHK Flats Near Me,Callout,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","3,006",126,4.19%,INR,18.97,2390.39,126,0.00
Enabled,https://tpc.googlesyndication.com/simgad/17095104034288378024,Logo,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","22,228","2,056",9.25%,INR,2.07,4253.22,"1,946",0.00
Enabled,2 BHK Flats Near Me,Callout,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","3,269",179,5.48%,INR,1.87,333.93,179,0.00
Enabled,https://tpc.googlesyndication.com/simgad/17095104034288378024,Business logo,Account,Eligible,,Advertiser,"Sep 9, 2025, 3:14 PM","8,068",466,5.78%,INR,19.49,9080.81,466,1.00
Enabled,"2 BHK starting 89 Lakhs
Luxury 2 BHK living apartments
Apartments near whitefield
https://www.anahata-soukya.in/",Sitelink,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","2,685",170,6.33%,INR,17.24,2930.83,170,0.00
Enabled,"7338628777
WhatsApp
Hi, Iam looking for apartments",Message,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM",75,7,9.33%,INR,51.49,360.44,7,0.00
Enabled,073386 28777,Call,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","3,338",93,2.79%,INR,27.43,2551.42,93,1.00
Enabled,"Live Closer to Work Place
Travel ease to work place with us
Low cost luxurious apartments
https://www.anahata-soukya.in/#about",Sitelink,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","23,967","2,261",9.43%,INR,1.86,4198.62,"1,372",1.00
Enabled,073386 28777,Call,Account,Eligible,,Advertiser,"Jul 11, 2025, 7:48 PM","6,185",215,3.48%,INR,17.70,3805.77,215,2.00
Enabled,Low cost apartments,Callout,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","2,272",95,4.18%,INR,16.93,1608.12,95,0.00
Enabled,1 BHK Flats Near Me,Callout,Campaign,Eligible,,Advertiser,"Jul 14, 2025, 3:39 PM","2,445",105,4.29%,INR,20.98,2202.63,105,0.00
Enabled,Low cost apartments,Callout,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","3,252",178,5.47%,INR,1.78,315.95,178,0.00
Enabled,1 BHK Flats Near Me,Callout,Campaign,Eligible,,Advertiser,"Aug 23, 2025, 12:55 PM","3,266",178,5.45%,INR,1.78,315.95,178,0.00
