Search keyword report
"July 11, 2025 - September 10, 2025"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,"""apartments for sale in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,1,0,0.00%,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""buy 2bhk in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Not eligible,rarely served,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""2 bhk apartment for sale in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""apartments near whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,633,24,3.79%,INR,22.17,532.16,24,0.00%,0.00,22.17,0.00
Enabled,"""flats in soukya road""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,201,10,4.98%,INR,18.38,183.76,10,0.00%,0.00,18.38,0.00
Enabled,"""2 bhk flats for sale in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,3,0,0.00%,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""apartments for sale in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""apartments near whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,361,22,6.09%,INR,32.24,709.23,22,0.00%,0.00,32.24,0.00
Enabled,"""flats to buy in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""flats in soukya road bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,1,1,100.00%,INR,17.98,17.98,1,0.00%,0.00,17.98,0.00
Enabled,"""flats in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,"1,215",80,6.58%,INR,18.78,1502.59,80,0.00%,0.00,18.78,0.00
Enabled,"""2 bhk flats in whitefield for sale""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""apartments in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,"1,720",83,4.83%,INR,20.24,1679.69,83,0.60%,0.50,20.24,3359.38
Enabled,"""flats for sale in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,3,0,0.00%,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""flats near whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,575,32,5.57%,INR,17.66,565.02,32,0.00%,0.00,17.66,0.00
Paused,"""anahata soukya road""",Phrase match,Anahata-lead-generation,Ad group 1,Paused,paused,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""2bhk flat for sale in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""flats for sale in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Limited,low quality,,205,9,4.39%,INR,20.15,181.31,9,0.00%,0.00,20.15,0.00
Enabled,"""anahata""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,968,123,12.71%,INR,15.04,1850.13,123,0.00%,0.00,15.04,0.00
Enabled,"""flats in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Limited,low quality,,2,0,0.00%,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""whitefield property for sale""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""2 bhk for sale in whitefield""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,243,18,7.41%,INR,19.63,353.39,18,0.00%,0.00,19.63,0.00
Enabled,"""flats near whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,259,13,5.02%,INR,19.15,249.01,13,0.00%,0.00,19.15,0.00
Paused,"""istikas anahata""",Phrase match,Anahata-lead-generation,Ad group 1,Paused,paused; rarely served,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""apartments in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,"1,732",91,5.25%,INR,19.99,1819.48,91,0.00%,0.00,19.99,0.00
Enabled,"""flats to buy in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,6,0,0.00%,INR,0,0.00,0,0.00%,0.00,0,0.00
Enabled,"""property in whitefield bangalore""",Phrase match,Anahata-lead-generation,Ad group 1,Eligible,,,794,36,4.53%,INR,19.05,685.91,36,0.00%,0.00,19.05,0.00
 --,,Total: All but removed keywords, --, --, --,,,"8,922",542,6.07%,INR,19.06,10329.68,542,0.09%,0.50,19.06,20659.36
,,Total: Keywords in your account,,,,,,"8,922",542,6.07%,INR,19.06,10329.68,542,0.09%,0.50,19.06,20659.36
,,Total: Your keywords,,,,,,"7,741",519,6.70%,INR,17.99,9335.85,519,0.00%,0.00,17.99,0.00
,,Total: AI Max expanded matches,,,,,,"1,181",23,1.95%,INR,43.21,993.83,23,2.17%,0.50,43.21,1987.66
,,Total: AI Max landing page matches,,,,,,561,7,1.25%,INR,57.35,401.42,7,7.14%,0.50,57.35,802.84
,,Total: URL inclusions in your account,,,,,,0,0, --,INR,0,0.00,0,0.00%,0.00,0,0.00
,,Total: Account,,,,,,"58,035","6,016",10.37%,INR,3.11,18689.22,"4,119",0.03%,2.00,4.54,9344.61
,,Total: Performance Max,,,,,,"48,552","5,467",11.26%,INR,1.46,7958.12,"3,570",0.02%,1.00,2.23,7958.12
,,Total: Search,,,,,,"9,483",549,5.79%,INR,19.55,10731.10,549,0.18%,1.00,19.55,10731.10
