Search terms report
"July 11, 2025 - September 10, 2025"
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
flats for sale in whitefield below 50 lakhs,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,12,1,8.33%,INR,14.04,14.04,Search,0.00%,0.00,0.00
prestige shantiniketan whitefield,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,27,1,3.70%,INR,18.71,18.71,Search,0.00%,0.00,0.00
flats near manyata tech park for rent,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,3,1,33.33%,INR,22.65,22.65,Search,0.00%,0.00,0.00
royal elite bengaluru,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
saroj bluebells whitefield,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
shantiniketan apartment whitefield,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,11,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
vspr bhuvana boulevard,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
house rent in whitefield bangalore,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
trifecta starlight rent,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,2,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
godrej splendour 2 bhk price,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
gopalan grandeur,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
saranya sarovar narayanappa garden whitefield bengaluru karnataka 560066,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
flats for rent in parimala skyview,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,2,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
flats for sale in mg road bangalore,Performance Max,None,Anahata performance max, --,1,1,100.00%,INR,13.15,13.15,Performance Max,0.00%,0.00,0.00
kolkata best flat,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
1 bhk rent in domlur bangalore,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
flats for sale in thanisandra bangalore,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
gated community apartments in bangalore for rent,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
ss homes,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
unsold flats in bangalore,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
affordable house in bangalore,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
hiranandani devanahalli,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
jaipur luxury flats,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
tolet 2 bhk near me,Performance Max,None,Anahata performance max, --,1,0,0.00%,INR,0,0.00,Performance Max,0.00%,0.00,0.00
list of apartments in whitefield bangalore,Exact match (close variant),None,Anahata-lead-generation,Ad group 1,5,1,20.00%,INR,15.70,15.70,Search,0.00%,0.00,0.00
salarpuria silverwoods rent,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
apartments near alliance university bangalore,AI Max,None,Anahata-lead-generation,Ad group 1,2,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
anahata kajal,Phrase match,None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
2 bhk bangalore price,AI Max,None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
2 bhk in whitefield bangalore for rent,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
room rent whitefield bangalore,Phrase match (close variant),None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
bangalore city house rent,AI Max,None,Anahata-lead-generation,Ad group 1,1,0,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
