Location report
"July 11, 2025 - September 10, 2025"
Location,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"10.0|km|Whitefield, Bengaluru, Karnataka",Anahata-lead-generation,"2,496",132,5.29%,INR,20.64,2723.88,0.76%,1.00,2723.88
"15.0|km|Whitefield, Bengaluru, Karnataka",Anahata-lead-generation,"1,182",34,2.88%,INR,27.61,938.60,0.00%,0.00,0.00
"5.0|km|Whitefield, Bengaluru, Karnataka",Anahata-lead-generation,"5,805",383,6.60%,INR,18.46,7068.62,0.00%,0.00,0.00
"15.0|km|Whitefield, Bengaluru, Karnataka",Anahata performance max,"39,577","4,860",12.28%,INR,1.11,5376.74,0.00%,0.00,0.00
"10.0|km|Whitefield, Bengaluru, Karnataka",Anahata performance max,"8,975",607,6.76%,INR,4.25,2581.38,0.16%,1.00,2581.38
Total: Locations,,"58,035","6,016",10.37%,INR,3.11,18689.22,0.03%,2.00,9344.61
Total: Other locations,,0,0, --,INR,0,0.00,0.00%,0.00,0.00
Total: Account,,"58,035","6,016",10.37%,INR,3.11,18689.22,0.03%,2.00,9344.61
Total: Search,,"9,483",549,5.79%,INR,19.55,10731.10,0.18%,1.00,10731.10
Total: Performance Max,,"48,552","5,467",11.26%,INR,1.46,7958.12,0.02%,1.00,7958.12
